REPORTID,USERID,REPORTTYPEID,ADDEDBY,HOSTID,LATITUDE,LONGTITUDE,RADIUSSIMPACT,DESCRIPTION,PRICE,REPORTSTATUSID,DATE,TIME,CREATEDTIME,LASTMODIFIEDTIME,ADDRESS,TOTALNUMBERINJURED,TOTALNUMBERKILLED,VEHICLETYPECODE
160190107, , , , ,-7913668.314090653,5208500.169595476, , , , ,1/19/2016,10:56:00 AM, , ,05/06/2017 14:44:53, , ,mv
160190118, , , , ,-7915903.720785274,5202224.776414105, , , , ,1/19/2016,11:36:00 AM, , ,05/06/2017 14:44:53, , ,mv
160190149, , , , ,-7917140.92560595,5214793.280373441, , , , ,1/19/2016,1:18:00 PM, , ,05/06/2017 14:44:53, , ,mv
160190217, , , , ,-7912930.377186184,5208429.86482589, , , , ,1/19/2016,4:12:00 PM, , ,05/06/2017 14:44:53, , ,mv
160190224, , , , ,-7919823.391375594,5199804.853051444, , , , ,1/19/2016,4:34:00 PM, , ,05/06/2017 14:44:53, , ,mv
160190257, , , , ,-7912868.0382713415,5211116.26935241, , , , ,1/19/2016,6:35:00 PM, , ,05/06/2017 14:44:53, , ,mv
160190265, , , , ,-7918703.183339744,5203032.106478125, , , , ,1/19/2016,7:04:00 PM, , ,05/06/2017 14:44:53, , ,mv
160190297, , , , ,-7911143.921997935,5205552.935296581, , , , ,1/19/2016,8:43:00 PM, , ,05/06/2017 14:44:53, , ,mv
160190300, , , , ,-7913646.384150968,5213681.426233199, , , , ,1/19/2016,9:08:22 PM, , ,05/06/2017 14:44:53, , ,ped
160200064, , , , ,-7913873.809870658,5203577.236082641, , , , ,1/20/2016,8:37:00 AM, , ,05/06/2017 14:44:53, , ,mv
160200102, , , , ,-7906589.952949073,5218139.120682261, , , , ,1/20/2016,10:19:00 AM, , ,05/06/2017 14:44:53, , ,mv
160200142, , , , ,-7921766.2504484095,5205015.969051925, , , , ,1/20/2016,12:11:00 PM, , ,05/06/2017 14:44:53, , ,mv
160200148, , , , ,-7912894.532310151,5210331.890569965, , , , ,1/20/2016,12:26:00 PM, , ,05/06/2017 14:44:53, , ,mv
